VCD info: dumpfile sm_core_tb.vcd opened for output.
============================================
  SM Core Testbench v1.2 â€” Starting
============================================

--- K1: Basic ALU (MOVI + ADD) ---
[PASS] T1: K1 R1=100  SP0.R1 = 0x0064
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0010 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=22 tos_ph=1
  [C033] PC=12 dec=aa102000 SETP     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=1 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=0011 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=22 tos_ph=1
  [C034] PC=22 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1100 stk_e=0 conv=01 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=1 tos_rpc=22 tos_ph=1
  [C035] PC=23 dec=2060dddd MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C036] PC=24 dec=c8000000 RET      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0020 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=1100 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=6 | stk_sp=0 tos_rpc=x tos_ph=x
  [C037] PC=25 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C038] PC=25 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C039] PC=25 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C040] PC=25 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=1 wb_rD=6 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C041] PC=25 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C042] PC=25 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C043] PC=25 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=1
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  RF dump       R0     R1     R2     R3     R4     R5     R6     R7   
       SP0:   0000  0002  0001  0000  0000  1111  dddd  0000 
       SP1:   0001  0002  0001  0000  0000  2222  dddd  0000 
       SP2:   0002  0002  0001  0000  0000  3333  dddd  0000 
       SP3:   0003  0002  0001  0000  0000  3333  dddd  0000 
[PASS] T301: K35 SP0 inner taken  SP0.R5 = 0x1111
[PASS] T302: K35 SP1 inner fall  SP1.R5 = 0x2222
[PASS] T303: K35 SP2 outer fall  SP2.R5 = 0x3333
[PASS] T304: K35 SP3 outer fall  SP3.R5 = 0x3333
[PASS] T305: K35 R6=reconv all  SP0.R6 = 0xdddd
[PASS] T306: K35 R6=reconv all  SP1.R6 = 0xdddd
[PASS] T307: K35 R6=reconv all  SP2.R6 = 0xdddd
[PASS] T308: K35 R6=reconv all  SP3.R6 = 0xdddd
  K35 scoreboard pending: [0]=0000 [1]=0000 [2]=0000 [3]=0000

--- K36: SIMT divergent DMEM store ---
  Taken: ST 0xAAAA, Fall: ST 0xBBBB to DMEM[200+TID]
  Program listing:
    [ 0] 1c000000  MOV.TID R0
    [ 1] 20100002  MOVI    R1, 2 (0x0002)
    [ 2] aa001000  SETP    P0, R0, R1 (cmp=2)
    [ 3] 00000000  NOP
    [ 4] 00000000  NOP
    [ 5] 00000000  NOP
    [ 6] c000a00d  PBRA    P0, target=10, reconv=13
    [ 7] 2050bbbb  MOVI    R5, 48059 (0xbbbb)
    [ 8] 085000c8  ST      R5, [R0 + 200]
    [ 9] b800000d  BRA     13
    [10] 2050aaaa  MOVI    R5, 43690 (0xaaaa)
    [11] 085000c8  ST      R5, [R0 + 200]
    [12] 00000000  NOP
    [13] c8000000  RET
  [C000] PC=0 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C001] PC=0 dec=1c000000 MOV      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C002] PC=1 dec=1c000000 MOV      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C003] PC=2 dec=20100002 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C004] PC=3 dec=aa001000 SETP     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0001 pend1=0001 pend2=0001 pend3=0001 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=1 | stk_sp=0 tos_rpc=x tos_ph=x
  [C005] PC=4 dec=00000000 NOP      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0003 pend1=0003 pend2=0003 pend3=0003 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C006] PC=4 dec=00000000 NOP      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0003 pend1=0003 pend2=0003 pend3=0003 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C007] PC=4 dec=00000000 NOP      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0003 pend1=0003 pend2=0003 pend3=0003 | wb_we_any=1 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C008] PC=4 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0002 pend1=0002 pend2=0002 pend3=0002 | wb_we_any=1 wb_rD=1 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C009] PC=5 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=1 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C010] PC=6 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=1 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C011] PC=7 dec=c000a00d PBRA     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=1 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C012] PC=8 dec=2050bbbb MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=1 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=1 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C013] PC=10 dec=085000c8 ST       fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=1 rD=0 | stk_sp=1 tos_rpc=13 tos_ph=0
  [C014] PC=11 dec=2050aaaa MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=0
  [C015] PC=12 dec=085000c8 ST       fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=0
  [C016] PC=13 dec=00000000 NOP      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=0
  [C017] PC=13 dec=00000000 NOP      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=0
  [C018] PC=13 dec=00000000 NOP      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=0
  [C019] PC=13 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=0011 stk_e=0 conv=10 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0000 pend3=0000 | wb_we_any=1 wb_rD=5 wb_amsk=0011 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=0
  [C020] PC=7 dec=c8000000 RET      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=0011 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C021] PC=7 dec=2050bbbb MOVI     fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=0011 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C022] PC=8 dec=2050bbbb MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=0011 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C023] PC=9 dec=085000c8 ST       fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=0011 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C024] PC=10 dec=b800000d BRA      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C025] PC=10 dec=b800000d BRA      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C026] PC=10 dec=b800000d BRA      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C027] PC=10 dec=b800000d BRA      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0020 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=1100 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C028] PC=11 dec=2050aaaa MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=1 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C029] PC=13 dec=085000c8 ST       fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1100 stk_e=0 conv=01 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=1 tos_rpc=13 tos_ph=1
  [C030] PC=14 dec=c8000000 RET      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C031] PC=15 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C032] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C033] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C034] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1100 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C035] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C036] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C037] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=1
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
[PASS] T309: K36 SP0 DMEM=taken  SP0.DMEM[200] = 0xaaaa
[PASS] T310: K36 SP1 DMEM=taken  SP1.DMEM[201] = 0xaaaa
[PASS] T311: K36 SP2 DMEM=fall  SP2.DMEM[202] = 0xbbbb
[PASS] T312: K36 SP3 DMEM=fall  SP3.DMEM[203] = 0xbbbb

--- K37: SIMT PBRA after MUL (drain) ---
  MUL R5=21, then PBRA. Taken: R5+=10=31, Fall: R5+=100=121
  Program listing:
    [ 0] 1c000000  MOV.TID R0
    [ 1] 20100003  MOVI    R1, 3 (0x0003)
    [ 2] 20200007  MOVI    R2, 7 (0x0007)
    [ 3] 40512000  MUL     R5, R1, R2
    [ 4] aa001000  SETP    P0, R0, R1 (cmp=2)
    [ 5] 00000000  NOP
    [ 6] 00000000  NOP
    [ 7] 00000000  NOP
    [ 8] c000b00d  PBRA    P0, target=11, reconv=13
    [ 9] 98550064  ADDI    R5, R5, 100
    [10] b800000d  BRA     13
    [11] 9855000a  ADDI    R5, R5, 10
    [12] 00000000  NOP
    [13] 0850012c  ST      R5, [R0 + 300]
    [14] c8000000  RET
  [C000] PC=0 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C001] PC=0 dec=1c000000 MOV      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C002] PC=1 dec=1c000000 MOV      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C003] PC=2 dec=20100003 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C004] PC=3 dec=20200007 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0001 pend1=0001 pend2=0001 pend3=0001 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=1 | stk_sp=0 tos_rpc=x tos_ph=x
  [C005] PC=4 dec=40512000 MUL      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0003 pend1=0003 pend2=0003 pend3=0003 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=2 | stk_sp=0 tos_rpc=x tos_ph=x
  [C006] PC=5 dec=aa001000 SETP     fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0007 pend1=0007 pend2=0007 pend3=0007 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C007] PC=5 dec=aa001000 SETP     fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0007 pend1=0007 pend2=0007 pend3=0007 | wb_we_any=1 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C008] PC=5 dec=aa001000 SETP     fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0006 pend1=0006 pend2=0006 pend3=0006 | wb_we_any=1 wb_rD=1 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C009] PC=5 dec=aa001000 SETP     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0004 pend1=0004 pend2=0004 pend3=0004 | wb_we_any=1 wb_rD=2 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C010] PC=6 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=2 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C011] PC=7 dec=00000000 NOP      fv=1 | fstl=1 sb=0 exb=1 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
